GRAND PRIX,DATE,CAR,RACE POSITION,PTS
Bahrain,28-Mar-21,MERCEDES,1,25
Emilia Romagna,18-Apr-21,MERCEDES,2,19
Portugal,02-May-21,MERCEDES,1,25
Spain,09-May-21,MERCEDES,1,25
Monaco,23-May-21,MERCEDES,7,7
Azerbaijan,06-Jun-21,MERCEDES,15,0
France,20-Jun-21,MERCEDES,2,18
Styria,27-Jun-21,MERCEDES,2,19
Austria,04-Jul-21,MERCEDES,4,12
Great Britain,18-Jul-21,MERCEDES,1,27
Hungary,01-Aug-21,MERCEDES,2,18
Belgium,29-Aug-21,MERCEDES,3,7.5
Netherlands,05-Sep-21,MERCEDES,2,19
Italy,12-Sep-21,MERCEDES,DNF,0
Russia,26-Sep-21,MERCEDES,1,25
Turkey,10-Oct-21,MERCEDES,5,10
United States,24-Oct-21,MERCEDES,2,19
Mexico,07-Nov-21,MERCEDES,2,18
Brazil,14-Nov-21,MERCEDES,1,25
Qatar,21-Nov-21,MERCEDES,1,25
